Ingenieria en Sistemas Computacionales ,1,[Zacatenco]
Ingenieria en Computacion ,1,[Culhuacan]
Ingenieria en Informatica ,1,[Iztacalco]
Licenciatura en Ciencias de la Informatica ,1,[Iztacalco]
Liceciatura en Fisica y Matematicas ,2,[Zacatenco]
Ingeniero Arquitecto ,3,[Tecamachalco]
Ingienieria Civil ,3,[Zacatenco]
Ingenieria Topografica y Fotogrametrica ,4,[Ticoman]
Ingenieria Geofisica ,4,[Ticoman]
Ingenieria Geologica ,4,[Ticoman]
Ingenieria Ambiental ,4,[Ticoman]
Ingenieria en Metalurgia y Materiales ,4,[Zacatenco]
Ingenieria en Sistemas Ambientales ,4,[Santo Tomas]
Ingenieria Quimica Industrial ,5,[Zacatenco]
Ingenieria Quimica Petrolera ,5,[Zacatenco]
Ingenieria Farmaceutica ,5,[Ticoman]
Ingenieria Petrolera ,5,[Ticoman]
Ingenieria en Alimentos ,5,[Ticoman]
Ingenieria Bionica ,6,[Ticoman]
Ingenieria Bioquimica ,6,[Santo Tomas]
Ingenieria Biomedica ,6,[Ticoman]
Ingenieria Biotecnologica ,6,[Ticoman]
Ingenieria Aeronautica ,7,[Ticoman]
Ingenieria Mecanica ,7,[Azcapotzalco, Culhuacan]
Ingenieria en Robotica Insdustrial ,7,[Azcapotzalco]
Ingenieria en Sistemas Automotrices ,7,[Zacatenco, Ticoman, Culhuacan, Azcapotzalco]
Ingenieria Mecatronica ,7,[Ticoman]
Ingenieria Industrial ,8,[Iztacalco]
Ingenieria en Control y Automatizacion ,8,[Zacatenco]
Ingenieria en Transporte ,8,[Iztacalco]
Ingenieria Textil ,8,[Zacatenco]
Ingenieria en Comunicaciones y Electronica ,9,[Zacatenco, Culhuacan]
Ingenieria Telematica ,9,[Ticoman]
Ingenieria Electrica ,9,[Zacatenco]
