Biologo ,1,[Zacatenco]
Quimico Bacteriologo y Parasitologo ,1,[Santo Tomas]
Quimico Farmaceutico Industrial ,1,[Santo Tomas]
Licenciatura en Nutricion ,1,[Milpa Alta]
Licenciatura en Enfermeria ,2,[Milpa alta, Santo Tomas]
Licenciatura en Enfermeria y Obstetricia ,2,[Santo Tomas]
Licenciatura en Odontologia ,2,[Santo Tomas, Milpa Alta]
Licenciatura en Optometria ,2,[Milpa Alta, Santo Tomas]
Medico Cirujano y Homeopata ,2,[Zacatenco]
Medico Cirujano y Partero ,2,[Milpa Alta, Santo Tomas, Ticoman]
Licenciatura en Psicologia ,3,[Santo Tomas]
Licenciatura en Trabajo Social ,3,[Milpa Alta]
